,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasAdditionalAttributions,latitude,longitude,city,state,price,homeType,rentZestimate
4788,Non Owner Occupied,False,Sold,3.0,1.0,1000.0,Unknown Listed By,False,False,37.718845,-122.43524,San Francisco,CA,810000.0,SINGLE_FAMILY,4248.0
4789,Non Owner Occupied,False,Sold,2.0,1.0,840.0,Unknown Listed By,False,False,37.72312,-122.4368,San Francisco,CA,615000.0,SINGLE_FAMILY,2997.0
4790,Non Owner Occupied,True,Sold,3.0,3.0,1868.0,Unknown Listed By,True,True,37.7422,-122.4375,San Francisco,CA,1605000.0,CONDO,5899.0
4791,Non Owner Occupied,True,Sold,4.0,3.0,2000.0,Unknown Listed By,False,True,37.736687,-122.43175,San Francisco,CA,1910000.0,SINGLE_FAMILY,6249.0
4792,Non Owner Occupied,False,Sold,4.0,2.0,2271.0,Unknown Listed By,False,False,37.770954,-122.43423,San Francisco,CA,800000.0,CONDO,7195.0
4793,Non Owner Occupied,False,Sold,,9.0,8360.0,Unknown Listed By,False,False,37.793423,-122.4292,San Francisco,CA,2800000.0,MULTI_FAMILY,13938.0
4794,Non Owner Occupied,False,Sold,4.0,4.0,2263.0,Unknown Listed By,False,False,37.75422,-122.50832,San Francisco,CA,3800000.0,MULTI_FAMILY,6462.0
4795,Non Owner Occupied,False,Sold,,,,Unknown Listed By,False,False,37.725796,-122.4176,San Francisco,CA,1189000.0,LOT,4081.0
4796,Non Owner Occupied,True,Sold,5.0,6.0,4770.0,Unknown Listed By,False,True,37.79412,-122.44199,San Francisco,CA,7235000.0,SINGLE_FAMILY,29179.0
4797,Non Owner Occupied,True,Sold,3.0,2.0,1900.0,Unknown Listed By,False,False,37.78733,-122.45856,San Francisco,CA,1613000.0,CONDO,7570.0
4798,RecentChange,True,Sold,4.0,2.0,1689.0,RecentChange,False,False,37.75292,-122.50052,San Francisco,CA,1700889.0,SINGLE_FAMILY,5495.0
4799,Non Owner Occupied,True,Sold,4.0,3.0,2012.0,Unknown Listed By,False,True,37.748936,-122.507454,San Francisco,CA,1650000.0,SINGLE_FAMILY,5500.0
4800,Non Owner Occupied,True,Sold,4.0,3.0,2423.0,Unknown Listed By,False,False,37.740856,-122.48861,San Francisco,CA,1800000.0,SINGLE_FAMILY,6449.0
4801,Non Owner Occupied,True,Sold,4.0,4.0,2541.0,Unknown Listed By,False,True,37.75531,-122.39941,San Francisco,CA,1425000.0,CONDO,8500.0
4802,Non Owner Occupied,True,Sold,2.0,1.0,1200.0,Unknown Listed By,False,True,37.74553,-122.41397,San Francisco,CA,1615000.0,SINGLE_FAMILY,4200.0
4803,Non Owner Occupied,True,Sold,2.0,1.0,1050.0,Unknown Listed By,False,True,37.74177,-122.41114,San Francisco,CA,1200000.0,SINGLE_FAMILY,4500.0
4804,Non Owner Occupied,True,Sold,2.0,2.0,1086.0,Unknown Listed By,False,False,37.74109,-122.4153,San Francisco,CA,1410000.0,SINGLE_FAMILY,4600.0
4805,Non Owner Occupied,True,Sold,3.0,2.0,900.0,Unknown Listed By,False,True,37.719933,-122.43551,San Francisco,CA,770000.0,SINGLE_FAMILY,4149.0
4806,Non Owner Occupied,True,Sold,2.0,1.0,775.0,Unknown Listed By,False,True,37.749294,-122.43852,San Francisco,CA,1530000.0,SINGLE_FAMILY,3563.0
4807,Non Owner Occupied,True,Sold,3.0,2.0,0.0,Unknown Listed By,False,True,37.74886,-122.431335,San Francisco,CA,2595000.0,SINGLE_FAMILY,9968.0
4808,Non Owner Occupied,False,Sold,,5.0,4375.0,Unknown Listed By,False,False,37.76238,-122.46485,San Francisco,CA,2100000.0,SINGLE_FAMILY,10215.0
4809,Non Owner Occupied,True,Sold,4.0,5.0,3317.0,Unknown Listed By,False,True,37.777393,-122.42549,San Francisco,CA,4995000.0,SINGLE_FAMILY,9999.0
4810,Non Owner Occupied,True,Sold,3.0,2.0,2181.0,Unknown Listed By,False,True,37.78616,-122.46875,San Francisco,CA,1850000.0,SINGLE_FAMILY,7950.0
4811,RecentChange,True,Sold,3.0,2.0,1150.0,Unknown Listed By,False,False,37.74969,-122.502785,San Francisco,CA,1450000.0,SINGLE_FAMILY,4495.0
4812,Non Owner Occupied,False,Sold,,2.0,1350.0,Unknown Listed By,False,False,37.747814,-122.48388,San Francisco,CA,1600000.0,SINGLE_FAMILY,3750.0
4813,Non Owner Occupied,True,Sold,2.0,1.0,1012.0,Unknown Listed By,False,True,37.73578,-122.49915,San Francisco,CA,1308000.0,SINGLE_FAMILY,3394.0
4814,Non Owner Occupied,False,Sold,2.0,1.0,1150.0,Unknown Listed By,False,False,37.728584,-122.45038,San Francisco,CA,1062000.0,SINGLE_FAMILY,3999.0
4815,Non Owner Occupied,True,Sold,2.0,2.0,1132.0,Unknown Listed By,False,True,37.76226,-122.42921,San Francisco,CA,1355000.0,CONDO,4850.0
4816,Non Owner Occupied,True,Sold,5.0,4.0,2024.0,Unknown Listed By,False,True,37.731674,-122.40025,San Francisco,CA,1450000.0,SINGLE_FAMILY,5500.0
4817,Non Owner Occupied,True,Sold,4.0,1.0,1375.0,Unknown Listed By,False,True,37.741432,-122.41915,San Francisco,CA,950000.0,SINGLE_FAMILY,4700.0
4818,Non Owner Occupied,True,Sold,2.0,2.0,1495.0,Unknown Listed By,False,True,37.718124,-122.464935,San Francisco,CA,1160000.0,SINGLE_FAMILY,4400.0
4819,Non Owner Occupied,True,Sold,2.0,2.0,1200.0,Unknown Listed By,True,True,37.716797,-122.442825,San Francisco,CA,1210000.0,SINGLE_FAMILY,3999.0
4820,Non Owner Occupied,True,Sold,3.0,3.0,2200.0,Unknown Listed By,False,True,37.723667,-122.472786,San Francisco,CA,2050000.0,SINGLE_FAMILY,6000.0
4821,Non Owner Occupied,True,Sold,5.0,3.0,2185.0,Unknown Listed By,False,True,37.73893,-122.43742,San Francisco,CA,1850200.0,SINGLE_FAMILY,6407.0
4822,Non Owner Occupied,True,Sold,3.0,3.0,1900.0,Unknown Listed By,False,True,37.739803,-122.4328,San Francisco,CA,1460000.0,TOWNHOUSE,5690.0
4823,Non Owner Occupied,True,Sold,1.0,1.0,723.0,Unknown Listed By,False,True,37.7616,-122.39806,San Francisco,CA,901000.0,CONDO,3384.0
4824,Non Owner Occupied,True,Sold,2.0,2.0,1438.0,Unknown Listed By,False,True,37.753414,-122.41233,San Francisco,CA,1410000.0,CONDO,4999.0
4825,Non Owner Occupied,False,Sold,,6.0,5730.0,Unknown Listed By,False,False,37.80086,-122.407455,San Francisco,CA,1700000.0,SINGLE_FAMILY,11282.0
4826,Non Owner Occupied,False,Sold,3.0,3.0,2116.0,Unknown Listed By,False,False,37.77726,-122.42545,San Francisco,CA,4200000.0,SINGLE_FAMILY,12727.0
4827,Non Owner Occupied,True,Sold,4.0,4.0,3300.0,Unknown Listed By,False,False,37.777164,-122.42543,San Francisco,CA,795000.0,SINGLE_FAMILY,9999.0
4828,Non Owner Occupied,True,Sold,3.0,2.0,2296.0,Unknown Listed By,False,False,37.768536,-122.45264,San Francisco,CA,2900000.0,SINGLE_FAMILY,7250.0
4829,Non Owner Occupied,True,Sold,5.0,1.0,2827.0,Unknown Listed By,False,True,37.763824,-122.46167,San Francisco,CA,1601000.0,MULTI_FAMILY,4500.0
4830,Non Owner Occupied,False,Sold,4.0,3.0,1830.0,Unknown Listed By,False,False,37.7478,-122.42211,San Francisco,CA,1800000.0,MULTI_FAMILY,6967.0
4831,Non Owner Occupied,True,Sold,3.0,4.0,1789.0,Unknown Listed By,False,False,37.725773,-122.41761,San Francisco,CA,1180000.0,SINGLE_FAMILY,5400.0
4832,Non Owner Occupied,True,Sold,5.0,3.0,3380.0,Unknown Listed By,False,True,37.802418,-122.41744,San Francisco,CA,3550000.0,SINGLE_FAMILY,13570.0
4833,Non Owner Occupied,True,Sold,3.0,2.0,1480.0,Unknown Listed By,False,True,37.77657,-122.48473,San Francisco,CA,1308000.0,SINGLE_FAMILY,4999.0
4834,Non Owner Occupied,True,Sold,3.0,2.0,1627.0,Unknown Listed By,False,True,37.765182,-122.4348,San Francisco,CA,2525000.0,SINGLE_FAMILY,9173.0
4835,Non Owner Occupied,True,Sold,3.0,3.0,2000.0,Unknown Listed By,False,True,37.759266,-122.431206,San Francisco,CA,1250000.0,SINGLE_FAMILY,7600.0
4836,Non Owner Occupied,True,Sold,2.0,1.0,950.0,Unknown Listed By,False,True,37.73632,-122.41211,San Francisco,CA,1100000.0,SINGLE_FAMILY,4149.0
4837,Non Owner Occupied,True,Sold,3.0,1.0,1767.0,Unknown Listed By,False,False,37.73208,-122.408165,San Francisco,CA,750000.0,SINGLE_FAMILY,4149.0
4838,Non Owner Occupied,True,Sold,3.0,3.0,2678.0,Unknown Listed By,False,True,37.72638,-122.47266,San Francisco,CA,2237000.0,SINGLE_FAMILY,8676.0
4839,Non Owner Occupied,True,Sold,2.0,1.0,1210.0,Unknown Listed By,True,True,37.75022,-122.43445,San Francisco,CA,1710000.0,CONDO,4500.0
4840,Non Owner Occupied,True,Sold,2.0,2.0,1184.0,Unknown Listed By,False,True,37.756542,-122.41369,San Francisco,CA,1410000.0,CONDO,4500.0
4841,Non Owner Occupied,False,Sold,,3.0,3352.0,Unknown Listed By,False,False,37.765682,-122.46589,San Francisco,CA,750000.0,MULTI_FAMILY,3214.0
4842,Non Owner Occupied,False,Sold,,2.0,3100.0,Unknown Listed By,False,False,37.775093,-122.44666,San Francisco,CA,100000.0,MULTI_FAMILY,3495.0
4843,Non Owner Occupied,True,Sold,3.0,3.0,3024.0,Unknown Listed By,False,False,37.765163,-122.43575,San Francisco,CA,2945000.0,CONDO,10280.0
4844,Non Owner Occupied,True,Sold,4.0,4.0,3280.0,Unknown Listed By,False,True,37.756252,-122.4353,San Francisco,CA,2675000.0,SINGLE_FAMILY,10749.0
4845,RecentChange,True,Sold,4.0,4.0,2482.0,Unknown Listed By,False,False,37.743835,-122.45707,San Francisco,CA,2610000.0,SINGLE_FAMILY,9050.0
