,marketingStatusSimplifiedCd,hasImage,statusText,beds,baths,area,sgapt,has3DModel,hasVideo,hasAdditionalAttributions,latitude,longitude,variableData.text,streetAddress,zipcode,city,state,homeType,rentZestimate,price,homeStatusForHDP
84,RecentChange,True,Sold,2.0,3.0,2169.0,Unknown Listed By,True,False,True,42.313793,-71.11849,Sold 02/16/2024,60 Burroughs St APT 34,2130.0,Jamaica Plain,MA,TOWNHOUSE,4999.0,1308000.0,RECENTLY_SOLD
85,Non Owner Occupied,True,Sold,3.0,2.0,1344.0,Unknown Listed By,False,False,False,42.278576,-71.09572,Sold 02/16/2024,25 Fottler Rd,2126.0,Mattapan,MA,SINGLE_FAMILY,3699.0,357000.0,RECENTLY_SOLD
86,RecentChange,True,Sold,11.0,3.0,2492.0,Unknown Listed By,False,False,True,42.33434,-71.04135,Sold 02/16/2024,100 H St,2127.0,South Boston,MA,MULTI_FAMILY,3900.0,2058600.0,RECENTLY_SOLD
87,RecentChange,True,Sold,3.0,3.0,2500.0,Unknown Listed By,False,False,True,42.347183,-71.07179,Sold 02/16/2024,5 Saint Charles St,2116.0,Boston,MA,SINGLE_FAMILY,10371.0,2950000.0,RECENTLY_SOLD
88,Non Owner Occupied,True,Sold,1.0,1.0,587.0,Unknown Listed By,False,False,False,42.36565,-71.05498,Sold 02/16/2024,46 Bennet St #1,2111.0,Boston,MA,CONDO,2500.0,480000.0,RECENTLY_SOLD
89,Non Owner Occupied,True,Sold,2.0,2.0,970.0,Unknown Listed By,False,False,False,42.334908,-71.04054,Sold 02/16/2024,606 E 4th St UNIT 105,2127.0,South Boston,MA,CONDO,3800.0,874000.0,RECENTLY_SOLD
90,RecentChange,True,Sold,1.0,1.0,587.0,Unknown Listed By,False,False,True,42.365654,-71.05496,Sold 02/16/2024,46 Bennet St #1,2113.0,Boston,MA,CONDO,4450.0,480000.0,RECENTLY_SOLD
91,RecentChange,True,Sold,7.0,3.0,3084.0,Unknown Listed By,False,False,True,42.349724,-71.15225,Sold 02/15/2024,60 Henshaw St,2135.0,Brighton,MA,MULTI_FAMILY,4999.0,1000000.0,RECENTLY_SOLD
92,RecentChange,True,Sold,5.0,2.0,2786.0,Unknown Listed By,False,False,True,42.259987,-71.12571,Sold 02/15/2024,59 Austin St,2136.0,Hyde Park,MA,MULTI_FAMILY,4714.0,870000.0,RECENTLY_SOLD
93,RecentChange,True,Sold,3.0,2.0,1572.0,Unknown Listed By,False,False,True,42.28512,-71.163956,Sold 02/15/2024,10 Thurlow St,2132.0,West Roxbury,MA,SINGLE_FAMILY,3599.0,635000.0,RECENTLY_SOLD
94,Non Owner Occupied,True,Sold,2.0,2.0,920.0,Unknown Listed By,False,False,False,42.35405,-71.0734,Sold 02/15/2024,24 Marlborough St APT 5,2116.0,Boston,MA,CONDO,4800.0,1500000.0,RECENTLY_SOLD
95,RecentChange,True,Sold,5.0,6.0,4036.0,RecentChange,False,False,True,42.345135,-71.078156,Sold 02/15/2024,31 Holyoke St,2116.0,Boston,MA,MULTI_FAMILY,17945.0,4800000.0,RECENTLY_SOLD
96,RecentChange,True,Sold,3.0,2.0,1387.0,Unknown Listed By,False,False,True,42.38296,-71.07038,Sold 02/15/2024,417 Bunker Hill St UNIT 2,2129.0,Charlestown,MA,CONDO,3615.0,1010000.0,RECENTLY_SOLD
